,study_name,study_sid,measurement_type,group_count,group_name,max,substance,count,calculation_type,group_parent_pk,sd,unit,se,min,cv,median,group_pk,characteristica_pk,mean,choice,value
0,Clements1984,PKDB00195,species,5,all,,,5,sample mean,,,,,,,,37,849,,homo sapiens,
1,Clements1984,PKDB00195,sex,5,all,,,5,sample mean,,,,,,,,37,850,,M,
2,Clements1984,PKDB00195,healthy,5,all,,,5,sample mean,,,,,,,,37,851,,Y,
3,Clements1984,PKDB00195,age,5,all,39.0,,5,sample mean,,,year,,29.0,,,37,852,33.4,,
4,Clements1984,PKDB00195,weight,5,all,83.0,,5,sample mean,,,kilogram,,66.0,,,37,853,72.4,,
5,Clements1984,PKDB00195,overnight fast,5,all,,,5,sample mean,,,,,,,,37,854,,Y,
6,Divoll1982,PKDB00131,weight,16,young subjects,86.4,,16,sample mean,46.0,,kilogram,,47.4,,,47,992,,,
7,Divoll1982,PKDB00131,medication,16,young subjects,,,16,sample mean,46.0,,,,,,,47,993,,N,
8,Divoll1982,PKDB00131,healthy,16,young subjects,,,16,sample mean,46.0,,,,,,,47,994,,Y,
9,Divoll1982,PKDB00131,species,16,young subjects,,,28,sample mean,46.0,,,,,,,47,975,,homo sapiens,
10,Divoll1982,PKDB00131,overnight fast,16,young subjects,,,28,sample mean,46.0,,,,,,,47,980,,Y,
11,Divoll1982,PKDB00131,sex,16,young subjects,,,8,sample mean,46.0,,,,,,,47,988,,M,
12,Divoll1982,PKDB00131,sex,16,young subjects,,,8,sample mean,46.0,,,,,,,47,989,,F,
13,Divoll1982,PKDB00131,age,16,young subjects,39.0,,16,sample mean,46.0,,year,,22.0,,,47,990,28.4,,
14,Divoll1982,PKDB00131,age (categorial),16,young subjects,,,16,sample mean,46.0,,,,,,,47,991,,young,
15,Divoll1982,PKDB00131,age,12,elderly subjects,78.0,,12,sample mean,46.0,,year,,61.0,,,48,1003,70.7,,
16,Divoll1982,PKDB00131,age (categorial),12,elderly subjects,,,12,sample mean,46.0,,,,,,,48,1004,,elder,
17,Divoll1982,PKDB00131,weight,12,elderly subjects,90.9,,12,sample mean,46.0,,kilogram,,45.5,,,48,1005,,,
18,Divoll1982,PKDB00131,sex,12,elderly subjects,,,6,sample mean,46.0,,,,,,,48,1006,,M,
19,Divoll1982,PKDB00131,species,12,elderly subjects,,,28,sample mean,46.0,,,,,,,48,975,,homo sapiens,
20,Divoll1982,PKDB00131,sex,12,elderly subjects,,,6,sample mean,46.0,,,,,,,48,1007,,F,
21,Divoll1982,PKDB00131,medication,12,elderly subjects,,,9,sample mean,46.0,,,,,,,48,1008,,N,
