,study_sid,study_name,output_pk,subset_pk,subset_name,intervention_pk,group_pk,individual_pk,normed,tissue,tissue_label,method,method_label,label,time,time_unit,measurement_type,measurement_type_label,choice,choice_label,substance,substance_label,value,mean,median,min,max,sd,se,cv,unit
0,PKDB00131,Divoll1982,"[4515, 4516, 4517, 4518, 4519, 4520, 4521, 4522, 4523, 4524, 4525, 4526, 4527, 4528]",113,tablet,[85],,205,TRUE,plasma,plasma,,,tablet,"[0.083, 0.167, 0.25, 0.5, 0.75, 1.0, 1.5, 2.0, 2.5, 3.0, 4.0, 6.0, 8.0, 12.0]",hr,concentration,concentration,,,apap,paracetamol,"[nan, 0.002355054, 0.00553186, 0.016618195, 0.011811852999999999, 0.008452522, 0.0067025623, 0.0054251122, 0.0049653, 0.004638762500000001, 0.003833433, 0.0021473553, 0.0013696034, 0.00053845495]",,,,,,,,gram / liter
1,PKDB00131,Divoll1982,"[4529, 4530, 4531, 4532, 4533, 4534, 4535, 4536, 4537, 4538, 4539, 4540, 4541, 4542]",115,elixir,[86],,205,TRUE,plasma,plasma,,,elixir,"[0.083, 0.167, 0.25, 0.5, 0.75, 1.0, 1.5, 2.0, 2.5, 3.0, 4.0, 6.0, 8.0, 12.0]",hr,concentration,concentration,,,apap,paracetamol,"[0.0025840833, 0.017558782999999998, 0.014808195, 0.013463604, 0.009976315500000001, 0.008023057, 0.006195249, 0.0055203147, 0.004594555, 0.0040111117, 0.003206536, 0.0021938362, 0.0014805529, 0.00063853735]",,,,,,,,gram / liter
2,PKDB00195,Clements1984,"[2768, 2759, 2760, 2761, 2762, 2763, 2764, 2765, 2766, 2767]",67,"paracetamol_5mg/kg, coca cola","[52, 56]",37,,TRUE,plasma,plasma,hplc,High-performance liquid chromatography (HPLC),"paracetamol_5mg/kg, coca cola","[8.0, 0.25, 0.5, 0.75, 1.0, 1.5, 2.0, 3.0, 4.0, 6.0]",hr,concentration,concentration,,,apap,paracetamol,,"[0.0007816577000000001, 0.0006885882, 0.0012622824, 0.0013186865999999999, 0.0018807411, 0.0029360783, 0.0031983606999999997, 0.0024584122, 0.0021437025, 0.0012501091]",,,,"[7.721417762668011e-05, 0.0005140385764502579, 0.000359718491608369, 0.000616737958718936, 0.00059125259755218, 0.000591036146171958, 0.000513930484924226, 0.0006681418074196899, 0.000231534105943811, 0.00025691079420686103]","[3.453123e-05, 0.00022988504000000002, 0.00016087099999999998, 0.0002758136, 0.00026441619999999997, 0.0002643194, 0.00022983670000000002, 0.0002988021, 0.00010354520000000001, 0.000114894]","[0.09878259707117336, 0.7465108702854012, 0.28497465512342485, 0.4676910789257554, 0.3143721363627242, 0.20130122080598395, 0.16068559275513422, 0.27177777893377275, 0.10800664082064139, 0.20551069839173322]",gram / liter
3,PKDB00195,Clements1984,"[2779, 2780, 2781, 2782, 2783, 2784, 2785, 2786, 2787, 2788]",66,"paracetamol_20mg/kg, coca cola","[54, 56]",37,,TRUE,plasma,plasma,hplc,High-performance liquid chromatography (HPLC),"paracetamol_20mg/kg, coca cola","[0.25, 0.5, 0.75, 1.0, 1.5, 2.0, 3.0, 4.0, 6.0, 8.0]",hr,concentration,concentration,,,apap,paracetamol,,"[0.0025570776, 0.005251141500000001, 0.0057990866, 0.006712329, 0.011004566, 0.012374429, 0.009589041, 0.0069406395, 0.0037442923000000003, 0.0019634703000000002]",,,,"[0.00153155361753769, 0.00132734672195371, 0.000918933154392527, 0.0016336569535262899, 0.00275679677989601, 0.00214417452789646, 0.00183786451993067, 0.00173576006590809, 0.00132734649834691, 0.0005105177979769659]","[0.0006849315999999999, 0.0005936075, 0.0004109594, 0.0007305936, 0.001232877, 0.000958904, 0.000821918, 0.0007762555, 0.0005936074, 0.0002283105]","[0.5989468671336725, 0.2527729869693494, 0.15846170574388851, 0.24338153769374085, 0.2505139030377036, 0.17327462365305585, 0.19166301613797146, 0.2500864748713847, 0.3544986320504171, 0.26000790436044074]",gram / liter
4,PKDB00195,Clements1984,"[2789, 2790, 2791, 2792, 2793, 2794, 2795, 2796, 2797, 2798]",64,paracetamol_iv_20mg/kg,[50],37,,TRUE,plasma,plasma,hplc,High-performance liquid chromatography (HPLC),paracetamol_iv_20mg/kg,"[0.25, 0.5, 0.75, 1.0, 1.5, 2.0, 3.0, 4.0, 6.0, 8.0]",hr,concentration,concentration,,,apap,paracetamol,,"[0.005525114, 0.0078538814, 0.011187215, 0.014063927, 0.017031963, 0.013242008999999999, 0.011050228, 0.0078995433, 0.0045662103, 0.0024200914000000002]",,,,"[0.0012252436095719099, 0.00173576028951489, 0.00224627786388505, 0.00255259010791882, 0.00255258787185084, 0.00214417452789646, 0.0015315545119648898, 0.0018378638491102798, 0.0008168273587291561, 0.00051051735076337]","[0.000547945599999999, 0.0007762556000000001, 0.0010045660000000001, 0.001141553, 0.0011415519999999999, 0.000958904, 0.000684932, 0.0008219176999999999, 0.00036529630000000003, 0.0002283103]","[0.22175897358351518, 0.2210066846075483, 0.20078972862191796, 0.1814991010632251, 0.1498704448718471, 0.16192214700174726, 0.1385993584896972, 0.23265444334108273, 0.17888518159778058, 0.21094961568946113]",gram / liter
5,PKDB00195,Clements1984,"[2769, 2770, 2771, 2772, 2773, 2774, 2775, 2776, 2777, 2778]",65,paracetamol_iv_5mg/kg,[48],37,,TRUE,plasma,plasma,hplc,High-performance liquid chromatography (HPLC),paracetamol_iv_5mg/kg,"[0.25, 0.5, 0.75, 1.0, 1.5, 2.0, 3.0, 4.0, 6.0, 8.0]",hr,concentration,concentration,,,apap,paracetamol,,"[0.0015163199, 0.0020898201, 0.002571463, 0.003110723, 0.0039707067, 0.0047501335, 0.0026653087, 0.0019943742, 0.0010431156, 0.0005862554]",,,,"[0.000488228225163652, 0.00038552920066585103, 0.000128509957162081, 0.000308423315811321, 0.000359718044394773, 0.0004628515369006, 0.000745355917964331, 0.000590818800364545, 0.0005654425593150911, 0.000154211546102262]","[0.0002183423, 0.0001724139, 5.74713999999998e-05, 0.0001379311, 0.0001608708, 0.000206993499999999, 0.0003333333, 0.0002642222, 0.00025287359999999996, 6.89655e-05]","[0.32198233708048807, 0.18447961174545646, 0.049975425336503385, 0.09914843456370785, 0.09059295273427599, 0.09743969025304236, 0.27965087795058446, 0.2962427012766937, 0.5420708494006715, 0.26304499046364777]",gram / liter
6,PKDB00131,Divoll1982,"[4501, 4502, 4503, 4504, 4505, 4506, 4507, 4508, 4509, 4510, 4511, 4512, 4513, 4514]",114,iv,[84],,205,TRUE,plasma,plasma,,,iv,"[0.083, 0.167, 0.25, 0.5, 0.75, 1.0, 1.5, 2.0, 2.5, 3.0, 4.0, 6.0, 8.0, 12.0]",hr,concentration,concentration,,,apap,paracetamol,"[nan, 0.039257072000000004, 0.017896159999999998, 0.011719324, 0.009042706499999999, 0.008740906000000001, 0.007472501, 0.0068881207, 0.005695642000000001, 0.004642766, 0.0038916976, 0.0024512997, 0.0016085733, 0.0008161008]",,,,,,,,gram / liter
7,PKDB00022,Albert1974,"[5615, 5616, 5617, 5618, 5619, 5620, 5621, 5622, 5623, 5624]",135,B,[110],75,,TRUE,plasma,plasma,,,B,"[10.0, 20.0, 30.0, 40.0, 60.0, 120.0, 240.0, 360.0, 480.0, 720.0]",min,concentration,concentration,,,apap,paracetamol,,"[0.00206, 0.004240000000000001, 0.00491, 0.005690000000000001, 0.00636, 0.004940000000000001, 0.00254, 0.0015, 0.00083, 0.00034]",,,,"[0.0032960000000000103, 0.005724, 0.00409494, 0.00242963, 0.00156456, 0.0011362000000000002, 0.0003302, 0.000207, 0.00018011, 7.68399999999999e-05]","[0.0010422867167915, 0.00181008773268038, 0.00129493372817299, 0.0007683164671474901, 0.000494757313599304, 0.000359297987748331, 0.00010441840833876, 6.54591475654855e-05, 5.69557829372927e-05, 2.42989415407338e-05]","[1.6000000000000048, 1.3499999999999996, 0.834, 0.42699999999999994, 0.246, 0.23, 0.13, 0.13799999999999998, 0.217, 0.22599999999999967]",gram / liter
8,PKDB00124,Perucca1979,"[6375, 6376, 6377, 6378, 6379, 6380, 6381, 6382, 6383]",148,control_paracetamol oral,[120],81,,TRUE,serum,serum,,,control_paracetamol oral,"[0.0, 0.5, 1.0, 1.5, 2.0, 3.0, 4.0, 5.0, 6.0]",hr,concentration,concentration,,,apap,paracetamol,,"[0.00014491922, 0.014431597000000001, 0.012537578, 0.011216007, 0.008426312, 0.0061770525, 0.004822867, 0.0036472485, 0.0027940838]",,,,"[nan, 0.0032443405911022198, 0.0021054172670836604, 0.00184129123760909, 0.00219162950807065, 0.00157864102570455, 0.00184171254984484, 0.000876905815314587, 0.000789214572420897]","[nan, 0.0013244965, 0.000859533000000001, 0.0007517040000000001, 0.0008947289999999991, 0.000644477500000001, 0.000751875999999999, 0.0003579953, 0.0003221955]","[nan, 0.22480814778171948, 0.1679285478490072, 0.16416637735774328, 0.2600935626488373, 0.2555654214861457, 0.38187089750657444, 0.2404294128339725, 0.2824591633296385]",gram / liter
9,PKDB00022,Albert1974,"[5605, 5606, 5607, 5608, 5609, 5610, 5611, 5612, 5613, 5614]",136,A,[109],75,,TRUE,plasma,plasma,,,A,"[10.0, 20.0, 30.0, 40.0, 60.0, 120.0, 240.0, 360.0, 480.0, 720.0]",min,concentration,concentration,,,apap,paracetamol,,"[2e-05, 0.00173, 0.0023799999999999997, 0.00326, 0.0048200000000000005, 0.00536, 0.00313, 0.00184, 0.00122, 0.0005200000000000001]",,,,"[3.2e-05, 0.0023355000000000003, 0.0019849200000000003, 0.00139202, 0.0011857200000000001, 0.0012327999999999998, 0.000406899999999999, 0.00025392, 0.00026473999999999996, 0.00011752]","[1.01192885125388e-05, 0.000738549947532325, 0.0006276868173221421, 0.000440195374850759, 0.000374957586721485, 0.000389845589945558, 0.000128673077992251, 8.029655434699549e-05, 8.37181387752977e-05, 3.71630870622988e-05]","[1.5999999999999999, 1.3500000000000003, 0.8340000000000002, 0.42700000000000005, 0.246, 0.22999999999999995, 0.12999999999999967, 0.13799999999999998, 0.21699999999999997, 0.22599999999999998]",gram / liter
